,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Paine,-33.82,-70.75,46.4,87,75,2.24,CL,1592529966
1,Port Hedland,-20.32,118.57,73.4,64,0,8.05,AU,1592529913
2,Goodlettsville,36.32,-86.71,79.0,53,75,11.41,US,1592529967
3,Bira,49.0,132.47,65.14,65,87,1.16,RU,1592529967
4,Bluff,-46.6,168.33,46.92,69,0,11.32,NZ,1592529779
5,Busselton,-33.65,115.33,48.99,95,77,4.97,AU,1592529906
6,Kalmunai,7.42,81.82,81.0,78,0,6.06,LK,1592529968
7,Klaksvík,62.23,-6.59,48.2,100,99,4.7,FO,1592529913
8,Dindori,22.95,81.08,74.8,80,100,7.18,IN,1592529968
9,Antalaha,-14.9,50.28,70.7,90,100,13.4,MG,1592529968
10,Mataura,-46.19,168.86,45.79,69,0,6.13,NZ,1592529968
11,Pangody,65.85,74.49,41.45,67,0,12.95,RU,1592529940
12,Port Lincoln,-34.73,135.87,60.3,69,3,18.25,AU,1592529969
13,Talnakh,69.49,88.4,46.4,65,100,15.66,RU,1592529969
14,Bredasdorp,-34.53,20.04,59.0,47,0,6.38,ZA,1592529917
15,Punta Arenas,-53.15,-70.92,37.4,93,100,9.17,CL,1592529870
16,Freeport,40.66,-73.58,69.8,100,75,10.29,US,1592529694
17,Bouna,9.27,-3.0,73.51,89,100,6.29,CI,1592529970
18,Carballo,43.21,-8.69,53.01,91,100,1.01,ES,1592529869
19,Pacific Grove,36.62,-121.92,71.6,49,1,5.82,US,1592529968
20,Ushuaia,-54.8,-68.3,33.8,74,2,2.24,AR,1592529806
21,Longyearbyen,78.22,15.64,46.4,61,20,10.29,SJ,1592529966
22,Avera,33.19,-82.53,77.0,78,90,4.7,US,1592529965
23,Soest,51.58,8.11,60.01,95,36,4.94,DE,1592529971
24,Kiruna,67.86,20.23,42.8,75,0,6.93,SE,1592529971
25,Katsuura,35.13,140.3,66.2,93,75,10.29,JP,1592529946
26,Saint-Ambroise,48.55,-71.33,82.4,45,20,3.36,CA,1592529971
27,Togur,58.36,82.83,44.33,96,100,10.33,RU,1592529972
28,Kapaa,22.08,-159.32,81.0,74,75,18.34,US,1592529913
29,Vaini,-21.2,-175.2,73.4,88,90,13.87,TO,1592529923
30,Esperance,-33.87,121.9,51.8,100,40,11.41,AU,1592529926
31,Kwang Binh,17.48,106.6,85.42,66,84,8.59,VN,1592529972
32,Ahipara,-35.17,173.17,57.4,63,19,12.19,NZ,1592529957
33,Caesarea,32.52,34.9,73.0,78,40,6.93,IL,1592529973
34,Ribeira Grande,38.52,-28.7,64.35,90,9,7.67,PT,1592529932
35,Wuda,39.5,106.71,84.25,21,37,14.45,CN,1592529901
36,Mar del Plata,-38.0,-57.56,51.01,87,0,9.17,AR,1592529973
37,Shimokizukuri,40.81,140.39,73.0,82,75,5.82,JP,1592529974
38,Mandalgovi,45.76,106.27,79.93,18,94,14.23,MN,1592529974
39,Matadi,-5.82,13.45,70.41,88,60,1.9,CD,1592529974
40,Bathsheba,13.22,-59.52,82.4,78,20,19.46,BB,1592529963
41,Jamestown,42.1,-79.24,73.4,49,1,3.36,US,1592529906
42,Quatre Cocos,-20.21,57.76,71.6,68,75,13.87,MU,1592529974
43,Rikitea,-23.12,-134.97,74.68,87,100,17.81,PF,1592529975
44,Severo-Kuril'sk,50.68,156.12,44.37,86,95,11.45,RU,1592529927
45,Daşoguz,41.84,59.97,68.0,49,7,4.7,TM,1592529975
46,Richards Bay,-28.78,32.04,57.76,87,100,5.32,ZA,1592529975
